age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,0.0,1,0.0,0,0.0684554569737319,0,0,1.0,19,10,0.024793388429752067,1,0.0,0,,0
33,0.0,1,1.0,0,0.1087502181178776,1,1,1.0,11,5,0.07140495867768595,1,0.38990825688073394,4,0.0,0
35,1.0,0,2.0,0,0.06258976389578663,1,0,1.0,16,4,0.05983471074380165,1,0.3795871559633027,1,0.0,0
30,1.0,1,2.0,0,0.06428101636219648,1,1,,3,6,0.06446280991735537,4,0.0,0,,0
59,2.0,1,1.0,0,0.04446920175568113,1,0,,5,5,0.07338842975206611,1,0.0,0,,0
35,1.0,0,2.0,0,0.05449591280653951,0,0,1.0,23,2,0.04528925619834711,2,0.2029816513761468,3,0.0,0
36,3.0,1,2.0,0,0.04858995181272734,1,0,1.0,14,5,0.11140495867768595,1,0.3795871559633027,2,1.0,0
39,4.0,1,1.0,0,0.046442329633159286,1,0,1.0,6,5,0.04859504132231405,2,0.0,0,,0
41,5.0,1,2.0,0,0.047435604891209515,1,0,,14,5,0.017520661157024792,2,0.0,0,,0
43,0.0,1,0.0,0,0.0432880095569187,1,1,1.0,17,4,0.10214876033057851,1,0.16972477064220184,2,0.0,0
39,0.0,1,1.0,0,0.17029301620112483,1,0,,20,5,0.08892561983471074,1,0.0,0,,0
43,6.0,1,1.0,0,0.04801277835196843,1,0,1.0,17,4,0.03603305785123967,2,0.0,0,,0
36,4.0,1,2.0,0,0.05935490798781225,0,0,1.0,13,8,0.10710743801652893,2,0.0,0,,0
20,7.0,0,1.0,0,0.05120736634407592,0,0,1.0,30,4,0.08495867768595042,1,0.0,0,,1
31,2.0,1,1.0,0,0.04930135165970927,1,1,1.0,29,1,0.02809917355371901,1,0.2775229357798165,1,0.0,0
40,1.0,1,2.0,0,0.0470731936484074,0,1,1.0,29,8,0.06115702479338843,2,0.0,0,,0
56,4.0,1,1.0,0,0.09913960886431054,0,0,1.0,27,8,0.07768595041322314,5,0.0,0,,0
