age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30.0,0.0,1,0.0,0,0.0684554569737319,0,0,1.0,19,10,0.02479338842975207,1,0.0,0,,0
33.0,0.0,1,1.0,0,0.1087502181178776,1,1,1.0,11,5,0.07140495867768595,1,0.3899082568807339,4,0.0,0
35.0,1.0,0,2.0,0,0.06258976389578662,1,0,1.0,16,4,0.05983471074380165,1,0.3795871559633027,1,0.0,0
30.0,1.0,1,2.0,0,0.06428101636219648,1,1,,3,6,0.06446280991735537,4,0.0,0,,0
59.0,2.0,1,1.0,0,0.04446920175568113,1,0,,5,5,0.07338842975206611,1,0.0,0,,0
35.0,1.0,0,2.0,0,0.05449591280653951,0,0,1.0,23,2,0.04528925619834711,2,0.2029816513761468,3,0.0,0
36.0,3.0,1,2.0,0,0.048589951812727336,1,0,1.0,14,5,0.11140495867768596,1,0.3795871559633027,2,1.0,0
39.0,4.0,1,1.0,0,0.046442329633159286,1,0,1.0,6,5,0.04859504132231405,2,0.0,0,,0
41.0,5.0,1,2.0,0,0.04743560489120952,1,0,,14,5,0.017520661157024792,2,0.0,0,,0
43.0,0.0,1,0.0,0,0.0432880095569187,1,1,1.0,17,4,0.10214876033057853,1,0.16972477064220184,2,0.0,0
39.0,0.0,1,1.0,0,0.17029301620112486,1,0,,20,5,0.08892561983471074,1,0.0,0,,0
43.0,6.0,1,1.0,0,0.04801277835196843,1,0,1.0,17,4,0.03603305785123967,2,0.0,0,,0
36.0,4.0,1,2.0,0,0.05935490798781225,0,0,1.0,13,8,0.10710743801652893,2,0.0,0,,0
,7.0,0,1.0,0,0.05120736634407592,0,0,1.0,30,4,0.08495867768595043,1,0.0,0,,1
31.0,2.0,1,1.0,0,0.04930135165970927,1,1,1.0,29,1,0.02809917355371901,1,0.2775229357798165,1,0.0,0
40.0,1.0,1,2.0,0,0.0470731936484074,0,1,1.0,29,8,0.06115702479338842,2,0.0,0,,0
56.0,4.0,1,1.0,0,0.09913960886431054,0,0,1.0,27,8,0.07768595041322314,5,0.0,0,,0
37.0,6.0,0,2.0,0,0.07556945544355109,1,0,1.0,20,4,0.03636363636363636,1,0.17545871559633028,2,0.0,0
25.0,2.0,0,0.0,0,0.04150279862015275,1,0,,23,5,0.08132231404958677,1,0.0,0,,0
31.0,0.0,1,1.0,0,0.04624099005382478,0,0,1.0,7,7,0.04760330578512397,1,0.17545871559633028,1,1.0,0
38.0,1.0,1,,0,0.04446920175568113,1,0,1.0,18,11,0.030413223140495868,2,0.0,0,,0
42.0,1.0,1,2.0,0,0.044683963973637934,0,0,1.0,19,11,0.04495867768595041,3,0.0,0,,0
